Runde 25,So 19.03.23 - 16:30                                                ,BSC Young Boys,FC Basel 1893, Lukas Fähndrich, Stéphane De Almeida, Guillaume Maire, Nico Gianforte,
Runde 24,So 12.03.23 - 16:30                                                ,FC Basel 1893,FC St.Gallen 1879, Fedayi San, Jonas Erni, Bastien Lengacher, David Huwiler,
Runde 25,So 19.03.23 - 14:15                                                ,FC Winterthur,FC St.Gallen 1879, Stefan Horisberger, Alain Heiniger, Leroy Hartmann, Anojen Kanagasingam,
Runde 21,So 12.02.23 - 14:15                                                ,FC Stade-Lausanne-Ouchy,FC Wil 1900, Mirel Turkes, Pascal Hirzel, Ilco Jancevski, Jonathan Jaussi,
Runde 26,Fr 17.03.23 - 19:30                                                ,Yverdon Sport FC,FC Schaffhausen, Marijan Drmic, Jan Köbeli, Cédric Müller, Marc Mischler,
Runde 22,So 26.02.23 - 14:15                                                ,FC Luzern,Grasshopper Club Zürich, Johannes von Mandach, Jan Köbeli, Mirco Bürgi, Stefan Horisberger,
Runde 25,So 12.03.23 - 14:15                                                ,FC Vaduz,AC Bellinzona, Mirel Turkes, Pascal Hirzel, Noel Lötscher, Marc Mischler,
Runde 21,So 19.02.23 - 16:30                                                ,Grasshopper Club Zürich,FC Zürich, Urs Schnyder, Marco Zürcher, Benjamin Zürcher, Maxime Odiet,
Runde 25,Sa 18.03.23 - 20:30                                                ,FC Sion,Grasshopper Club Zürich, Sven Wolfensberger, Pascal Hirzel, Claudio dos Santos, Johannes von Mandach,
Runde 24,Sa 11.03.23 - 18:00                                                ,BSC Young Boys,FC Sion, Luca Cibelli, Vital Jobin, Devis Dettamanti, Marijan Drmic,
Runde 23,So 05.03.23 - 16:30                                                ,FC Zürich,Servette FC, Stefan Horisberger, Jan Köbeli, Guillaume Maire, Maxime Odiet,
Runde 22,So 19.02.23 - 16:30                                                ,FC Lausanne-Sport,AC Bellinzona, David Huwiler, Guillaume Maire, Leroy Hartmann, Mujo Dedukic,
Runde 24,So 05.03.23 - 14:15                                                ,AC Bellinzona,FC Stade-Lausanne-Ouchy, Mujo Dedukic, Remy Zgraggen, Claudio dos Santos, Johannes von Mandach,
Runde 27,Fr 31.03.23 - 19:30                                                ,FC Schaffhausen,FC Wil 1900, Johannes von Mandach, Jonas Erni, Venancius Antony, Mujo Dedukic,
Runde 22,Fr 17.02.23 - 19:30                                                ,FC Wil 1900,Neuchâtel Xamax FCS, Michèle Schmölzer, Bastien Lengacher, Claudio dos Santos, Mirel Turkes,
Runde 26,Sa 01.04.23 - 18:00                                                ,Servette FC,BSC Young Boys, Luca Cibelli, Vital Jobin, Bastien Lengacher, Maxime Odiet,
Runde 22,Fr 17.02.23 - 20:15                                                ,FC Thun Berner Oberland,FC Stade-Lausanne-Ouchy, Johannes von Mandach, Jan Köbeli, Nicolas Tuberosa, Désirée Grundbacher,
Runde 24,So 05.03.23 - 14:15                                                ,FC Schaffhausen,FC Thun Berner Oberland, Nico Gianforte, Nicolas Müller, Thomas Gämperle, Hüseyin Sanli,
Runde 25,Sa 11.03.23 - 18:00                                                ,FC Aarau,FC Stade-Lausanne-Ouchy, Luca Piccolo, Marco Zürcher, Christophe Loureiro, Hüseyin Sanli,
Runde 26,Sa 01.04.23 - 20:30                                                ,FC Basel 1893,FC Winterthur, Luca Piccolo, Matthias Sbrissa, Devis Dettamanti, Mirel Turkes,
Runde 23,So 26.02.23 - 14:15                                                ,FC Aarau,AC Bellinzona, Nico Gianforte, Devis Dettamanti, Cristiano Da Cunha, Michèle Schmölzer,
Runde 24,Sa 11.03.23 - 20:30                                                ,FC Lugano,FC Zürich, Esther Staubli, Alain Heiniger, Nicolas Müller, Tobias Thies,
Runde 21,So 12.02.23 - 14:15                                                ,AC Bellinzona,FC Schaffhausen, Nico Gianforte, Mirco Bürgi, Thomas Zihlmann, Patrick Rogalla,
Runde 21,So 19.02.23 - 14:15                                                ,FC St.Gallen 1879,FC Luzern, Fedayi San, Jonas Erni, Nicolas Müller, Johannes von Mandach,
Runde 22,So 26.02.23 - 16:30                                                ,FC Lugano,FC Basel 1893, Sven Wolfensberger, Pascal Hirzel, Didier Dubrit, Marijan Drmic,
Runde 23,So 05.03.23 - 14:15                                                ,FC St.Gallen 1879,Grasshopper Club Zürich, Lukas Fähndrich, Pascal Hirzel, Susanne Küng, Anojen Kanagasingam,
Runde 23,Fr 24.02.23 - 19:30                                                ,FC Thun Berner Oberland,Yverdon Sport FC, Hüseyin Sanli, Marco Zürcher, Susanne Küng, Mirel Turkes,
Runde 23,So 05.03.23 - 16:30                                                ,FC Sion,FC Lugano, Urs Schnyder, Marco Zürcher, Benjamin Zürcher, David Huwiler,
Runde 26,Sa 18.03.23 - 18:00                                                ,FC Stade-Lausanne-Ouchy,FC Vaduz, David Huwiler, Bastien Lengacher, Nicolas Müller, Patrick Rogalla,
Runde 25,Fr 10.03.23 - 20:15                                                ,FC Schaffhausen,FC Lausanne-Sport, Johannes von Mandach, Leroy Hartmann, Valerio Weber, Patrick Rogalla,
Runde 26,So 19.03.23 - 16:30                                                ,FC Lausanne-Sport,FC Thun Berner Oberland, Esther Staubli, Susanne Küng, Linda Schmid, Désirée Grundbacher,
Runde 22,So 26.02.23 - 16:30                                                ,Servette FC,FC Winterthur, Esther Staubli, Stéphane De Almeida, Bastien Lengacher, Mirel Turkes,
Runde 20,So 12.02.23 - 16:30                                                ,FC Zürich,FC Winterthur, Luca Cibelli, Vital Jobin, Claudio dos Santos, David Huwiler,
Runde 25,So 12.03.23 - 16:30                                                ,FC Thun Berner Oberland,FC Wil 1900, Anojen Kanagasingam, Claudio dos Santos, Nicolas Morf, Mujo Dedukic,
Runde 24,So 05.03.23 - 16:30                                                ,FC Lausanne-Sport,FC Vaduz, Marijan Drmic, Bekim Zogaj, Daniel Von Känel, Alexander Tester,
Runde 26,Fr 17.03.23 - 20:15                                                ,FC Wil 1900,FC Aarau, Luca Cibelli, Matthias Sbrissa, Remy Zgraggen, Hajrim Qovanaj,
Runde 23,Sa 04.03.23 - 18:00                                                ,FC Winterthur,BSC Young Boys, Luca Piccolo, Jonas Erni, Mirco Bürgi, David Huwiler,
Runde 24,,Servette FC,FC Luzern, Sandro Schärer, Stéphane De Almeida, Bekim Zogaj, Maxime Odiet,
Runde 22,Sa 25.02.23 - 18:00                                                ,FC Sion,FC St.Gallen 1879, Stefan Horisberger, Alain Heiniger, Guillaume Maire, David Huwiler,
Runde 27,Fr 31.03.23 - 20:15                                                ,FC Thun Berner Oberland,AC Bellinzona, Marijan Drmic, Nicolas Müller, Ilco Jancevski, Michèle Schmölzer,
Runde 24,Fr 03.03.23 - 20:15                                                ,Neuchâtel Xamax FCS,FC Aarau, Tobias Thies, Leroy Hartmann, Steven Forster, Hajrim Qovanaj,
Runde 22,Sa 25.02.23 - 20:30                                                ,FC Zürich,BSC Young Boys, Lukas Fähndrich, Jonas Erni, Nicolas Müller, Maxime Odiet,
Runde 25,Sa 18.03.23 - 18:00                                                ,FC Zürich,FC Luzern, Urs Schnyder, Marco Zürcher, Mirco Bürgi, Nico Gianforte,
Runde 23,So 26.02.23 - 14:15                                                ,FC Vaduz,Neuchâtel Xamax FCS, Maxime Odiet, Claudio dos Santos, Christophe Loureiro, Marc Mischler,
Runde 20,So 12.02.23 - 16:30                                                ,BSC Young Boys,FC St.Gallen 1879, Urs Schnyder, Marco Zürcher, Alain Heiniger, Maxime Odiet,
Runde 21,So 19.02.23 - 16:30                                                ,FC Basel 1893,Servette FC, Sandro Schärer, Stéphane De Almeida, Bekim Zogaj, Marijan Drmic,
Runde 21,Sa 18.02.23 - 18:00                                                ,FC Winterthur,FC Sion, Sven Wolfensberger, Pascal Hirzel, Mirco Bürgi, David Schärli,
Runde 17,Mi 15.02.23 - 18:45                                                ,FC Winterthur,Servette FC, Stefan Horisberger, Pascal Hirzel, Guillaume Maire, Johannes von Mandach,
Runde 23,So 26.02.23 - 14:15                                                ,FC Stade-Lausanne-Ouchy,FC Schaffhausen, Jonathan Jaussi, Vital Jobin, Matthias Sbrissa, David Schärli,
Runde 24,Fr 03.03.23 - 19:30                                                ,Yverdon Sport FC,FC Wil 1900, Sven Wolfensberger, Alain Heiniger, Didier Dubrit, Logan Berchier,
Runde 24,So 12.03.23 - 16:30                                                ,Grasshopper Club Zürich,FC Winterthur, Sven Wolfensberger, Jan Köbeli, Didier Dubrit, Tobias Thies,
Runde 26,So 19.03.23 - 14:15                                                ,AC Bellinzona,Neuchâtel Xamax FCS, Maxime Odiet, Devis Dettamanti, Didier Dubrit, Alexander Tester,
Runde 25,So 12.03.23 - 16:30                                                ,Neuchâtel Xamax FCS,Yverdon Sport FC, David Schärli, Mirco Bürgi, Nicolas Tuberosa, Logan Berchier,
Runde 22,Fr 17.02.23 - 19:30                                                ,FC Schaffhausen,FC Aarau, Maxime Odiet, Susanne Küng, Valerio Weber, Alexander Tester,
Runde 22,Fr 17.02.23 - 19:30                                                ,Yverdon Sport FC,FC Vaduz, Hajrim Qovanaj, Alain Heiniger, Didiet Dubrit, Anojen Kanagasingam,
Runde 23,Sa 04.03.23 - 20:30                                                ,FC Luzern,FC Basel 1893, Luca Cibelli, Matthias Sbrissa, Bastien Lengacher, Maxime Odiet,
Runde 21,So 12.02.23 - 14:15                                                ,FC Vaduz,FC Thun Berner Oberland, Esther Staubli, Benjamin Zürcher, Daniel Von Känel, Logan Berchier,
Runde 23,Fr 24.02.23 - 20:15                                                ,FC Wil 1900,FC Lausanne-Sport, Anojen Kanagasingam, Leroy Hartmann, Daniel Von Känel, Hajrim Qovanaj,
Runde 25,So 19.03.23 - 16:30                                                ,FC Lugano,Servette FC, Mirel Turkes, Jonas Erni, Benjamin Zürcher, Alessandro Dudic,
Runde 21,Sa 18.02.23 - 20:30                                                ,BSC Young Boys,FC Lugano, Luca Cibelli, Vital Jobin, Matthias Sbrissa, Tobias Thies,
